is-edible,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-color,has-ring,ring-type,spore-print-color,habitat,season
False,15.26,6.0,2.0,6.0,False,2.0,0.4,10.0,16.95,17.09,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,3.0
False,16.6,6.0,2.0,6.0,False,2.0,0.4,10.0,17.99,18.19,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,2.0
False,14.07,6.0,2.0,6.0,False,2.0,0.4,10.0,17.8,17.74,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,3.0
False,14.17,2.0,3.0,1.0,False,2.0,0.4,10.0,15.77,15.98,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,3.0
False,14.64,6.0,3.0,6.0,False,2.0,0.4,10.0,16.53,17.2,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,3.0
False,15.34,6.0,2.0,6.0,False,2.0,0.4,10.0,17.84,18.79,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,2.0
False,14.85,2.0,3.0,6.0,False,2.0,0.4,10.0,17.71,16.89,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,3.0
False,14.86,6.0,3.0,1.0,False,2.0,0.4,10.0,17.03,17.44,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,2.0
False,12.85,2.0,2.0,6.0,False,2.0,0.4,10.0,17.27,18.69,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,0.0
False,13.55,2.0,2.0,1.0,False,2.0,0.4,10.0,16.04,16.88,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,3.0
False,14.17,2.0,3.0,1.0,False,2.0,0.4,10.0,17.86,18.02,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,0.0
False,13.4,6.0,3.0,6.0,False,2.0,0.4,10.0,17.95,17.14,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,2.0
False,17.37,6.0,3.0,6.0,False,2.0,0.4,10.0,18.1,18.27,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,2.0
False,16.56,6.0,3.0,6.0,False,2.0,0.4,10.0,18.89,18.11,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,2.0
False,15.37,6.0,3.0,1.0,False,2.0,0.4,10.0,18.19,18.38,4.0,7.0,11.0,4.0,1.0,2.0,2.6564368901479383,0.0,0.0
False,15.54,2.0,3.0,1.0,False,2.0,0.4,10.0,18.26,17.87,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,0.0
False,15.19,6.0,2.0,1.0,False,2.0,0.4,10.0,17.42,17.67,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,0.0
False,17.4,6.0,3.0,6.0,False,2.0,0.4,10.0,18.48,18.54,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,0.0
False,16.16,6.0,2.0,6.0,False,2.0,0.4,10.0,19.46,18.9,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,3.0
False,16.93,6.0,3.0,1.0,False,2.0,0.4,10.0,18.31,17.81,4.0,7.0,11.0,4.0,1.0,5.0,2.6564368901479383,0.0,2.0
